Wavelength,A,B,C,D,E,F,G,H,I,J,K,L
390,1.212620616,2.11243844,0.18256475,0.242635027,1.231546998,0.515378654,3.325704336,7.3785429,0.860222518,0.944503427,3.168643236,3.13524437
391.0599976,0.995484769,1.857292891,0.349900246,0.441906542,0.868479312,0.567232192,3.670836926,8.05378437,1.161825776,0.75756526,3.03761816,3.469090462
391.9599915,1.469352245,2.072636366,0.182413548,0.245241776,1.181841969,0.702517092,3.540201187,9.145565987,0.981568813,0.897450686,3.66380477,3.479217052
393.0299988,1.246978998,2.355065823,0.137872681,0.444309294,1.226288915,0.667103827,3.165755749,10.21656799,0.843490064,0.882615149,3.221917391,3.5795784
393.9299927,1.385352015,2.115918875,0.45485723,0.716230154,1.270039439,0.636600792,3.542541981,11.21273422,0.890806735,0.797402263,3.39261055,3.268312216
395,1.167645335,2.429189682,0.469978303,0.457558006,0.93177253,0.77404207,3.845157623,12.32429123,1.048835516,0.825782239,3.496320248,3.041493177
396.0599976,1.466873884,2.074241638,0.507844448,0.608621538,0.901466668,0.713182986,3.242140532,13.89990044,0.911683023,0.727061808,3.13516736,3.401259899
396.9599915,1.356915712,2.164548874,0.632505238,0.504449308,1.190592647,0.880963445,3.51237607,15.15203667,0.679146349,0.664215446,3.394248247,3.100115299
398.0299988,1.266142011,2.012707949,0.445935488,0.340790987,1.008826852,0.754608512,3.204710245,16.69497299,0.978689671,0.900579453,3.392608643,3.135768175
398.9299927,1.598623514,2.097468615,0.514253497,0.527197838,0.843642712,0.664057136,3.553253889,18.06031609,0.766293049,0.814019084,3.132712364,2.995408297
400,1.442582965,2.130026817,0.275459796,0.349978447,0.792670608,0.611044169,3.704363108,20.68473053,0.499637902,0.505488038,3.695318222,2.825200081
401.0700073,1.174275756,2.156558275,0.478071809,0.28892985,0.790543318,0.740602255,3.69173789,21.78740501,0.808028996,0.708776176,3.313952446,2.561243773
402,1.295238495,2.183209181,0.445481002,0.30377382,0.704133272,0.648406148,3.797684669,23.52191353,0.619841337,0.708284736,3.368372202,2.803874731
403.0700073,1.22164917,1.931198835,0.198860869,0.226961181,0.688585579,0.664585114,3.675159931,25.97224236,0.494980514,0.488895088,3.470650434,2.61991024
404,1.167047024,1.564551115,0.274652451,0.258274823,0.696089387,0.353581041,3.70010972,27.70968246,0.39061746,0.702572048,3.369793415,2.869355679
405.0700073,1.299049616,1.807387114,0.210268155,0.089432396,0.583945692,0.439399779,4.212012291,31.10507774,0.491763085,0.368565887,3.244902849,2.625129938
406,1.113084197,1.726412773,0.184383988,0.182453573,0.508397758,0.352497995,4.348680973,33.3435173,0.407264024,0.64255631,3.872615099,2.646262646
407.0700073,1.08138442,1.792369485,0.262198836,0.074413441,0.411308676,0.39959839,4.753639221,35.95653915,0.333487779,0.688172042,3.877970934,2.589535236
408,1.114619017,1.768952847,0.107246079,0.288958758,0.444139451,0.369726181,4.538219929,39.06675339,0.518691778,0.41756618,4.05740118,2.83230257
409.0700073,1.136537433,1.692939639,0.216475561,0.196265727,0.381713927,0.447567254,5.249523163,42.32352448,0.540363669,0.631181538,4.215547085,2.968216896
410,1.144295812,1.878519535,0.179791853,0.255228043,0.614287794,0.108428396,5.076738358,45.04075623,0.382563889,0.549331427,4.350957394,2.682090282
411.0599976,1.127882481,1.728060126,0.0735517,0.367136657,0.563662827,0.400837392,5.691505432,48.06728363,0.379425466,0.458395034,4.504296303,3.021216154
411.9599915,1.142631412,1.856451392,0.075703174,0.312207282,0.257860065,0.469781011,6.285000801,51.84118271,0.537726104,0.336197376,4.786812782,2.741245985
