proteinID,LFQ.intensity.A1,LFQ.intensity.A2,LFQ.intensity.A3,LFQ.intensity.C1,LFQ.intensity.C2,LFQ.intensity.C3,impute_LFQ.intensity.A1,impute_LFQ.intensity.A2,impute_LFQ.intensity.A3,impute_LFQ.intensity.C1,impute_LFQ.intensity.C2,impute_LFQ.intensity.C3,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
P06837,17.464992375518772,NA,NA,18.19527607579911,18.37203181546866,18.207243155936737,17.464992375518772,16.71860082512729,17.09251765241679,18.19527607579911,18.37203181546866,18.207243155936737,0.006374647511501922,2.1955438247045147,1.1661467313805502,5.232074273180823,0.006374647511501922,2,Gap43
P08030,22.568436760026167,22.915155066763077,23.167264998369106,23.540023007298753,23.422523709346354,23.516651289622992,22.568436760026167,22.915155066763077,23.167264998369106,23.540023007298753,23.422523709346354,23.516651289622992,0.02633826401473825,1.5794128532795295,0.6094470603699165,3.4381513676369293,0.02633826401473825,3,Aprt
P08228,22.864725712014906,22.570152184555837,22.909599414781066,23.85424216217362,23.993258375399662,24.14848899518105,22.864725712014906,22.570152184555837,22.909599414781066,23.85424216217362,23.993258375399662,24.14848899518105,8.67581579645647e-4,3.0616896774314446,1.217170740467509,8.935211670814915,8.67581579645647e-4,3,Sod1
P09528,NA,NA,NA,20.28217896452341,20.500184446037956,20.403120234963513,16.357479680520743,16.83556588483703,15.812907278627067,20.28217896452341,20.500184446037956,20.403120234963513,1.7731047715014022e-4,3.7512656014884436,4.0598436005133465,13.439675928618245,1.7731047715014022e-4,3,Fth1
P10637,NA,17.991754334370736,18.677175941312186,20.775230885615233,19.61460920618549,20.795110620503753,16.98263232026891,17.991754334370736,18.677175941312186,20.775230885615233,19.61460920618549,20.795110620503753,0.016155201971696287,1.791687608079956,2.511129372117548,3.9981300063867455,0.016155201971696287,6,Mapt
P12849,NA,18.385196766282757,NA,20.134707066515023,20.192557708110247,20.25845101854002,16.374574050641442,18.385196766282757,17.051989353487357,20.134707066515023,20.192557708110247,20.25845101854002,0.0078011514828071615,2.1078412888838542,2.924651874251243,4.942803604106381,0.0078011514828071615,7,Prkar1b
P14873,22.173103711119893,22.242548453122303,22.313128824093635,23.15349203856349,23.15237831079158,23.270420808469357,22.173103711119893,22.242548453122303,22.313128824093635,23.15349203856349,23.15237831079158,23.270420808469357,7.24693250699411e-5,4.139845783386637,0.9491700564961967,16.864413302739052,7.24693250699411e-5,22,Map1b
P16045,22.366930466815585,22.108529561413615,22.220311011567414,23.2059495182627,23.14587991800951,23.237101401563464,22.366930466815585,22.108529561413615,22.220311011567414,23.2059495182627,23.14587991800951,23.237101401563464,2.6450707682377063e-4,3.577562704028046,0.9643865993463514,12.13603523954253,2.6450707682377063e-4,6,Lgals1
P16460,NA,NA,NA,18.19719749186642,18.231352451585835,18.35784406032151,16.436344132658892,16.44703989969634,16.669390842961853,18.19719749186642,18.231352451585835,18.35784406032151,4.234920296576402e-5,4.3731547589065425,1.7445397094855615,19.315067357128076,4.234920296576402e-5,5,Ass1
P17225,20.59586935466421,20.975682866145576,21.10821048698107,21.65887915219001,21.483896451205418,21.613872178842033,20.59586935466421,20.975682866145576,21.10821048698107,21.65887915219001,21.483896451205418,21.613872178842033,0.012982823011588615,1.886630863386832,0.692295024815536,4.266830426912561,0.012982823011588615,4,Ptbp1
