proteinID,LFQ.intensity.PD1,LFQ.intensity.PD2,LFQ.intensity.PD3,LFQ.intensity.PD4,LFQ.intensity.PE1,LFQ.intensity.PE2,LFQ.intensity.PE3,LFQ.intensity.PE4,impute_LFQ.intensity.PD1,impute_LFQ.intensity.PD2,impute_LFQ.intensity.PD3,impute_LFQ.intensity.PD4,impute_LFQ.intensity.PE1,impute_LFQ.intensity.PE2,impute_LFQ.intensity.PE3,impute_LFQ.intensity.PE4,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
O00273,NA,NA,NA,NA,20.879197325893585,21.039457263877146,20.51864547258885,20.320915105486673,18.45298320890678,18.38386537560345,18.026474162202188,16.98399877032988,20.879197325893585,21.039457263877146,20.51864547258885,20.320915105486673,3.523973037291205e-4,3.4529674231318523,2.727723412700989,7.240370026505552,3.523973037291205e-4,7,DFFA
O00299,24.839949180099623,24.78421667290532,24.60195572629801,25.094463368698957,24.18290895211279,24.22435031855202,24.491672082788913,24.445690829494882,24.839949180099623,24.78421667290532,24.60195572629801,25.094463368698957,24.18290895211279,24.22435031855202,24.491672082788913,24.445690829494882,0.00834053156355346,2.0788062697745637,-0.4939906912633276,-3.8622463566764234,0.00834053156355346,6,CLIC1
O00303,NA,NA,21.98492323141435,22.223849704854924,22.62736199420667,22.14186391118081,22.103575960017334,22.129559735059306,18.301883017073195,17.960461327788593,21.98492323141435,22.223849704854924,22.62736199420667,22.14186391118081,22.103575960017334,22.129559735059306,0.11483168534388369,0.9399382611424322,2.1328110798332673,1.8434257011036181,0.11483168534388369,2,EIF3F
O00330,18.944780680751027,18.9320590022692,NA,18.96845867986444,18.57927910359671,19.000363181641415,18.81828258345198,NA,18.944780680751027,18.9320590022692,17.910120074571132,18.96845867986444,18.57927910359671,19.000363181641415,18.81828258345198,18.178068861039634,0.8912983334228939,0.0499769055331276,-0.044856176931517666,-0.14256815715809829,0.8912983334228939,4,PDHX
O00410,20.332871361673288,20.88136493794738,NA,21.146190769972723,NA,19.816408709905133,19.633818288737977,19.86618319725541,20.332871361673288,20.88136493794738,17.245941040773936,21.146190769972723,18.091513242178856,19.816408709905133,19.633818288737977,19.86618319725541,0.6008796127879641,0.22121253089089055,-0.549611168072488,-0.5520136711562593,0.6008796127879641,26,IPO5
O00425,NA,19.806892558609512,NA,NA,NA,20.299163291285204,20.58288437153798,20.70336965370845,17.747300185788532,19.806892558609512,18.199912186662132,18.675074879046974,17.62228340021262,20.299163291285204,20.58288437153798,20.70336965370845,0.2117739233368484,0.6741275175435966,1.194630226659278,1.397430368417217,0.2117739233368484,6,IGF2BP3
O00487,20.975472963619794,21.5101209023032,NA,21.02722298603911,22.492650264055907,22.850241024392606,22.564581209525905,22.95730613073778,20.975472963619794,21.5101209023032,17.93689407476172,21.02722298603911,22.492650264055907,22.850241024392606,22.564581209525905,22.95730613073778,0.02906349219030437,1.5366522032569345,2.3537669254970943,2.8530940957010795,0.02906349219030437,3,PSMD14
O00541,18.733902429249508,18.365083574359627,NA,18.510555572656752,NA,18.493026687089007,18.533322126985514,18.74396000046726,18.733902429249508,18.365083574359627,18.184622966468137,18.510555572656752,18.589940533508052,18.493026687089007,18.533322126985514,18.74396000046726,0.31303597227295665,0.5044057529903395,0.14152120132895263,1.1011442181552615,0.31303597227295665,7,PES1
O00567,20.709440617836226,21.01113441913445,NA,20.67426469354778,20.408313153394616,20.58829373934542,20.513642790720503,20.465630171745293,20.709440617836226,21.01113441913445,17.961635018080358,20.67426469354778,20.408313153394616,20.58829373934542,20.513642790720503,20.465630171745293,0.5913663431690082,0.22814339640091083,0.4048512766517547,0.5668626134978852,0.5913663431690082,7,NOP56
O00571,20.8114311417629,21.306302047355388,20.636263505123225,21.135396167266297,22.52618877413348,22.682968016929685,22.408131716553417,23.178888504303995,20.8114311417629,21.306302047355388,20.636263505123225,21.135396167266297,22.52618877413348,22.682968016929685,22.408131716553417,23.178888504303995,2.7323229206024094e-4,3.563467974702043,1.7266960376031903,7.584378779306754,2.7323229206024094e-4,7,DDX3X
