proteinID,P11,P12,P13,P2a1,P2a2,P2a3,P2b1,P2b2,P2b3,P31,P32,P33,P1,P2a,P2b,P3,group
G5E829,28.99674232703208,28.31466801255233,28.435831421409283,27.843200237367693,27.87835790327302,27.92189948800039,25.390277716791093,26.957483268074967,26.49365100000181,26.71999327676361,24.70984709869144,27.493429277696773,28.58241392033123,27.88115254288037,26.280470661622626,26.307756551050606,high1
O08573,31.508430782818024,31.344932050535142,31.367134660793127,30.700827896903917,30.90052329686639,30.85905025970594,30.566923930025226,30.859864860525764,31.222681697862857,30.110482353993742,30.61666774133078,30.66585480142052,31.40683249804876,30.82013381782541,30.88315682947128,30.46433496558168,high1
O08599,27.369195817643124,27.00206523660336,27.498459812839105,26.42847825630172,27.079892611804258,27.058169804481473,27.275242874713758,25.81241774039037,26.365078900751662,27.16652966416368,25.010128998011805,25.584870432647012,27.289906955695198,26.85551355752915,26.484246505285267,25.920509698274163,high1
O08664,29.525706525336105,29.12171424033399,28.879818978766927,30.129768024761663,25.423812091148047,29.412722174761967,25.198494363086077,29.185226990976656,24.230956457005647,29.21192177886052,28.954823921624477,25.802214555777237,29.175746581479007,28.322100763557227,26.20489260368946,27.989653418754077,high1
O08709,25.267034693977347,26.679522874316806,27.003888785356878,26.526855857614198,25.84582604480486,25.232086012553214,26.474105224277466,26.96928023643793,26.258758097754,27.675527781128007,27.084461801451784,27.255659085362158,26.31681545121701,25.868255971657423,26.567381186156464,27.33854955598065,high3
O08740,28.926233142148984,28.79612617560542,28.744997058643673,28.533896275338062,24.264837056682026,28.39835880712727,25.548424127949446,28.475992131513593,28.590351303337002,29.244678345620063,25.830576749622864,25.064379475049506,28.822452125466025,27.065697379715786,27.53825585426668,26.71321152343081,high1
O08747,28.595660247500888,28.307433403237372,29.077475248105422,26.292033104921074,25.581911272695745,25.5993588292226,25.565876896655727,26.148798594347596,26.074347571380624,25.62143903309709,25.633427516978074,25.82738727443041,28.66018963294789,25.824434402279806,25.929674354127982,25.694084608168524,high1
O08791,28.765533876332835,28.723577937967185,29.386402476223044,28.238723830941233,28.18347697956585,28.644164349771202,29.384365773510527,26.133704472390374,29.182388063739587,25.766467952291677,25.715028492298348,26.265290334275903,28.958504763507687,28.355455053426095,28.233486103213494,25.91559559295531,high1
O09012,25.275843596170738,26.035801848486706,26.181585620525887,26.18210644035366,26.79389596984216,26.107677651801,26.050615483151095,26.266869590290035,25.62098287944679,29.634589649328042,29.524903664036103,28.01313189602497,25.831077021727776,26.361226687332273,25.979489317629305,29.057541736463037,high3
O09061,28.612701542775984,25.575132579661286,26.631005128266846,28.47958126300567,25.969691755490924,29.313825121152078,28.987447484713954,29.21831113191114,28.750246603756057,28.68143799672102,29.227681781288588,29.615493058082862,26.939613083568037,27.921032713216224,28.98533507346038,29.17487094536416,high3
O35134,26.73660300917871,26.946816343023112,27.672900718112167,27.762178843682083,26.167016826178173,27.12642389786276,26.881103502341187,25.9520615936529,25.541626519067634,27.47769132818197,26.306730883163375,25.79667995535197,27.118773356771328,27.018539855907672,26.124930538353908,26.527034055565775,high1
O35226,28.970953753545214,24.46572064097426,26.406224475046713,29.516963062470793,29.317646603332882,29.538362396718398,29.541965971517968,29.91027902843053,29.609728526866935,30.67455161113578,30.697351920479555,30.53760357544028,26.614299623188728,29.457657354174028,29.687324508938477,30.63650236901854,high3
O35345,27.45309049289556,27.276397066321614,27.804274226760697,27.567903171766357,28.88980226163676,27.644576960968323,29.017359674224494,28.91957150683223,29.04014529671487,28.208251329133237,29.309299677673952,28.71492699763904,27.51125392865929,28.03409413145715,28.992358825923862,28.744159334815407,high3
O35379,27.1083899750325,26.864669044255542,28.01233281081305,26.527087148419547,26.899198322790372,26.98239672991562,25.481109520096894,24.682676439159007,25.28537797961838,26.691487569203826,27.008432000535215,25.64910083850198,27.32846394336703,26.802894067041848,25.149721312958093,26.44967346941367,high1
O35668,27.71102529395834,27.381295002577357,27.56267285169005,28.790513112144435,27.3619374840703,28.468282035332557,24.73956610138082,25.323725574720335,28.886201112655225,28.523950853617244,28.268610600993927,28.79485661998919,27.551664382741915,28.206910877182434,26.31649759625213,28.529139358200123,high3
O35682,30.201279690466954,30.213962038314083,29.989018841508074,30.095092459992618,29.87497715119773,29.828294519458616,25.33629727612799,29.569859663495123,29.013105266980794,25.257151289741362,26.191613039622233,25.783531231776635,30.134753523429705,29.932788043549653,27.973087402201305,25.744098520380078,high1
