proteinID,P11,P12,P13,P2a1,P2a2,P2a3,P2b1,P2b2,P2b3,P31,P32,P33,P1,P2a,P2b,P3,group
O35226,26.94480748443784,27.118227586526288,27.53125829708847,27.36611340177368,27.392556802768034,27.0957715706183,27.40576122243822,27.395665002833752,27.6574460284444,28.098635407506766,28.33777357474303,28.17068970113648,27.198097789350868,27.28481392505334,27.486290751238787,28.202366227795427,high3
O35593,27.095067301607052,27.26347080312888,27.418685064898632,27.33696535412137,27.184801507862204,27.200321081307937,27.434360601787148,27.34443475738037,27.75436243914061,28.216693320151933,28.34303718681565,28.456345327540877,27.25907438987819,27.240695981097172,27.51105259943604,28.338691944836153,high3
O35638,26.530454799344895,26.118960235670315,26.59662018361339,26.587063515345793,26.254181781653443,26.283338221348252,26.68190708956888,26.068887645838338,23.360920083608523,26.72935976980306,23.087446980545828,25.96706051920534,26.415345072876203,26.3748611727825,25.370571606338583,25.261289089851413,high1
O35943,27.964661144847838,27.515929821842885,27.90270972193007,28.104396076597265,27.222232566891126,27.856796604246682,27.15557024352228,27.160194887656175,27.26338125314338,27.171405738064518,26.640583434227445,23.79226721471123,27.794433562873596,27.727808415911692,27.193048794773944,25.868085462334395,high1
O54774,24.96380168286773,24.191217689973328,25.747118381925223,23.24391582495072,24.08521179572936,22.458281011999663,24.510990112087693,24.313544047881475,24.128175613418993,24.98407141209917,23.237286951799014,24.641134923164163,24.967379251588756,23.26246954422658,24.31756992446272,24.287497762354118,high1
O54965,25.988477187647426,26.78606298747905,26.356154795575275,26.523935902557433,26.29245953709621,23.586701068374744,26.55569871538001,26.286620082698736,23.255100382195984,22.912463504166087,23.553815300749463,23.79547205364317,26.37689832356725,25.467698836009465,25.365806393424908,23.420583619519572,high1
O55028,27.705762618692614,29.42223897257572,29.53628857431703,29.7352315262627,30.00182371174918,29.752752599566968,29.3754859700972,27.990101539525785,29.76697161839273,30.129890822994778,29.82178723882648,29.978146935944505,28.888096721861785,29.829935945859614,29.04418637600524,29.976608332588587,high3
O55102,24.135904323045786,23.266030258607657,23.557954590229997,24.148754873082872,23.275585880103513,23.568615969273367,25.056020783999706,23.54773904889805,24.76830064978331,25.909306418566988,26.06529647665731,26.0115226193876,23.653296390627816,23.664318907486585,24.45735349422702,25.9953751715373,high3
O70201,25.719445016351855,25.57879672183501,26.314339559593623,26.60087885552665,25.376831777464616,26.592491483288732,25.19977836648991,25.208474610454495,24.823036363674877,25.323782938776638,23.268501179245483,23.86281800309702,25.870860432593492,26.190067372093335,25.077096446873096,24.151700707039712,high1
O70579,25.973709451392654,26.26060244298498,25.43971195078551,23.994219213784596,23.792964864260618,25.679519831145388,23.068818289139905,26.02320494040647,23.081171952051836,23.53977939866252,22.66008822644158,25.849286734742197,25.89134128172105,24.488901303063532,24.0577317271994,24.016384786615433,high1
O88425,25.946727119791635,25.834269271027267,25.70514299209548,25.73590613608538,26.00652349340864,25.658154594537134,25.734769769298516,25.755776340389115,23.77178826408664,23.254916272362873,24.77243711975254,25.707751534891088,25.828713127638128,25.800194741343716,25.08744479125809,24.57836830900217,high1
O88685,28.07209162298719,28.153300677779782,28.441224828431825,28.353128514225997,28.133055409241845,27.930779379659963,28.36948705685584,28.230410142436206,28.630655126471062,28.72302452642556,28.764047230211396,29.005950907242912,28.222205709732933,28.138987767709267,28.410184108587703,28.831007554626623,high3
