proteinID,P11,P12,P13,P2a1,P2a2,P2a3,P2b1,P2b2,P2b3,P31,P32,P33,P1,P2a,P2b,P3,group
O35317,24.17866059639574,23.923974468355823,23.728892886594156,21.485045593512133,24.303893877847756,21.69302392843098,24.19129300489809,24.006416485224342,23.75389083062733,21.697249941848163,21.610345494788643,21.160984102797922,23.943842650448573,22.49398779993029,23.983866773583255,21.48952651314491,high1
O35326,23.22846642702425,23.38798048572233,23.0384193657744,23.30952520313429,21.605475251635703,21.152782707090452,23.185179721271343,21.86280772391713,23.244335378445832,23.347597580650405,23.088207880016263,19.850240649567404,23.218288759506994,22.022594387286816,22.7641076078781,22.09534870341136,high1
O35387,21.49100932376383,21.055448666299846,20.991227001311593,21.069167002890744,21.005401836988295,20.164113955336653,23.51026580697288,21.119266409036857,21.137535075810234,23.19651027914834,23.869948467404463,23.243986883844155,21.17922833045842,20.74622759840523,21.92235576393999,23.43681521013232,high3
O35632,24.60840012534718,24.92315843870971,25.23337567616776,21.03931534638486,21.35310320165046,24.969170429759725,21.731907976775656,21.644934667125202,21.195217203716226,20.809968179784796,21.379054243229543,21.976494137848277,24.92164474674155,22.45386299259835,21.524019949205695,21.388505520287538,high1
O35638,24.084482076694613,24.6728737490772,23.949490477321437,24.402560881927077,23.723174294028727,23.582907335430104,24.27547378691769,23.698905558321137,19.88343512480785,23.67379041355816,23.438982668339616,23.30382421776996,24.235615434364416,23.902880837128635,22.61927149001556,23.47219909988924,high1
O35648,24.134926361550054,24.223614061817035,24.09563074431716,24.734847277292243,24.178888504303995,21.070653667433028,24.175618378934654,21.54177348984937,21.112151019289392,24.23015357535129,21.048351695291853,24.343062609277332,24.151390389228084,23.32812981634309,22.27651429602447,23.207189293306826,high1
O35972,25.01580295321442,24.357967521974455,23.499722312731407,24.72634831285517,24.733916906425375,23.37597060538718,25.370127576247842,24.856286077536435,24.797289469747412,25.831590036361955,24.803165834938028,24.68228225405959,24.291164262640095,24.278745274889243,25.00790104117723,25.10567937511986,high3
O35984,22.822034718313084,22.3611309754073,23.175070097852206,23.732209666653258,20.839570524167073,20.852816994407984,23.069154062054608,23.337697025886193,22.713284977887557,21.359830532597595,22.42144542350555,22.70393989308381,22.786078597190862,21.808199061742773,23.04004535527612,22.161738616395652,high1
O54774,21.341417583289413,21.05694597397298,24.009665992350836,21.067129511364556,21.808855474966816,24.383241269719356,24.006844470347446,24.042432893456365,20.84392313767665,24.304311767695484,24.124551739298166,24.455193249888964,22.136009849871076,22.419742085350247,22.964400167160154,24.294685585627537,high3
O54990,25.139929752422596,25.048099678860293,25.052501054394778,23.88520630899714,23.983897509610905,24.170279012955294,24.28453890757011,24.39963049310491,23.994294732253007,24.10365599191711,23.708514761181263,23.499965559240312,25.08017682855922,24.013127610521114,24.226154710976008,23.770712104112892,high1
